0,0.2291630851695735,0
5,0.2154607669627109,0.02187216588148099
10,0.181452387544614,0.04408174517711624
15,0.1570757258559724,0.06698729810778067
20,0.1367589329743726,0.09099255856655059
25,0.1222650512425275,0.1165769145387497
30,0.1081228999966025,0.1443375672974064
35,0.09843489829792079,0.1750518845524274
40,0.08522717753605567,0.20977490779432
45,0.07528855324276765,0.25
50,0.06526703343871633,0.2979383981485524
55,0.05542995232385367,0.3570370016855285
60,0.04483513182765599,0.4330127018922192
