-1,0,30,60
0.1,0.9103453838203853,0.9562476526876766,0.6415873436120966
0.2,0.9444998575890545,0.9500851145165323,0.6108525862706431
0.3,0.9709023213852489,0.944309202669269,0.5847760594418184
0.4,0.9816002773588446,0.9366834391283928,0.5595533939643881
0.5,0.9904759406154579,0.9273717418814068,0.5379514570088395
0.6,0.9971329320461565,0.9175840869564618,0.518746486157144
0.7000000000000001,1.001596022676295,0.9080251877203945,0.5019716750437812
0.8,1.004417919145355,0.8977912758281499,0.4866471410213703
0.9,1.006021875982049,0.8903844793783254,0.4734509343025664
1,1.00671945644263,0.8795927628419447,0.461574501387875
